yazio_id,name,brand,category,barcode_off,off_name_match,has_ean_yazio,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sugar_per_100g
00035873-37e3-4a05-9b54-1ce7a93c4c76,Black Angus Burger,BBQ,meat,,,True,246.0,15.0,1.5,20.0,0.0,1.0
0010ab66-1d61-4dfb-b4d6-d3eccf0cab1a,Quarkhimmel,Migros M Classic,curd,,,True,53.0,8.6,4.5,0.5,0.0,3.7
00266dae-7afb-4120-82db-17294bec95ce,"Schweinssteak Nierstück, gewürzt",BBQ,pork,,,True,151.0,21.0,0.5,7.0,0.0,0.5
0045827c-9393-43bb-92a1-c9a1b1350da4,Beef Burger Patties,Butcher's Burger,meat,,,True,232.0,17.0,0.5,18.0,0.0,0.5
008e3e1b-0187-442e-a6c0-99663053d3cb,Fisch Filet Wels,Nordsee,fish,,,False,183.0,18.7,0.0,12.0,0.0,0.0
015f79ee-4380-4230-a666-4878dcf4c3fc,Fitnessteller,,salad,,,False,100.0,7.0,2.0,3.2,0.0,0.0
01646224-9dd2-4986-93d3-8a234ef4afe6,Fajitas poulet,Fait Maison,dishes,,,False,182.91,13.59,37.07,5.35,0.0,0.0
01950b8f-9e02-491e-9652-10c89f0adcac,Chicken Tikka Masalla (Spicy),Felfel,dishes,,,False,134.0,6.1,15.0,5.2,0.0,1.2
01a950e4-1899-4513-b4b0-0a21a625c098,Tomate-Basilikum,Blevita,cerealproducts,,,False,432.0,13.0,65.0,12.0,6.0,3.5
024a49d2-8bda-44e9-91dd-4960ee521645,Power Layer,Multipower,chocolatebars,,,True,377.0,30.0,33.0,18.0,4.4,2.8
028b2ba4-27c2-404a-ac70-1b15abdd2e51,Trek Biscoff Protein Oat Bar,Lotus,cerealproducts,,,True,460.0,20.0,45.0,21.0,4.4,24.0
02b5af86-8c4b-4b0d-9b4c-178e3e723efb,Haferbrei mit Apfelstücken,Trek’n Eat,dishes,,,False,402.0,13.0,62.0,9.8,6.0,28.0
02d336a8-6418-4b6c-9de8-08744fe0a4b8,melanzana alla parigiana,mediterranean food solutions,dishes,,,True,138.0,5.4,3.7,10.0,0.0,2.8
02ef3440-1972-46e9-9919-ab822b0252a0,Salat Natur,Fresh  Cut Aldi,salad,,,True,71.0,1.4,3.5,5.3,1.8,2.4
0306d683-0abb-4f05-97e7-48d14d2bf2ae,Apfelstrudel mit Vanillesauce,,pies,,,False,193.0,3.0,23.7,10.0,0.2,12.3
0317e32c-252e-424e-958e-da2488a85a19,Clear whey blackberry geschmack,Aldi,nutritionalsupplements,,,True,347.0,81.0,1.7,0.0,0.0,0.0
038eb04b-e16a-4402-b893-f5eb7104f5dd,Tofu-Zucchini-Pfanne,Elena,veganism,,,False,106.2,8.6,2.2,7.0,0.0,0.0
03ee7f6c-9e93-4152-b187-381d7cb7c6a8,protein bite ,Felfel,miscellaneous,,,True,479.0,24.0,29.0,33.0,0.0,19.0
03fde533-57c0-4d4d-b5b1-cd38bf968c75,paprika,Pom-bär,miscellaneous,,,True,500.0,3.8,60.0,27.0,0.0,2.9
04246b8b-e3a9-41db-965d-f6e79714265e,Burger,Selbstgemacht,hamburger,,,False,245.0,13.1,11.6,11.2,0.0,2.4
042f2914-bfd3-49e4-8556-861e919cbfea,BBQ,BBQ Grillsteak,poultry,4047247737050,Veganes Grillsteak - Französische Kräuter,True,148.0,18.0,1.7,7.7,0.0,0.0
046d030c-ecf3-40d6-8b0d-1d1056447744,Salmon Wakame Poké Bowl,Felfel,dishes,,,False,166.0,5.0,19.0,7.0,0.0,3.7
047aa47e-f7b2-46bb-9173-02ae9812861b,Vollfett hartkäse,Le Gruyère,milk,,,True,400.0,27.0,0.1,32.0,0.0,0.0
04ce71a8-a92d-4f51-bccd-b621e2db516b,Nestea Schwarzer Tea Lemon,Nestlé,miscellaneous,,,True,19.0,0.0,4.5,0.0,0.0,4.4
04fee38f-dc37-435f-82e9-d3b4e2b2f321,"Food Republic Poke Bowl, Smoked Salmon",Aldi,dishes,,,False,204.0,5.4,23.0,10.0,1.0,2.9
05fedccb-120f-4e7f-a392-b783a5336752,Sucorine Xylit,Migros,spices,,,True,240.0,0.0,0.0,0.0,0.0,100.0
067cdf6c-fc8c-41f8-9b83-1c46a21e27cf,Trockenfleisch,Gruyere,lunchmeat,,,True,231.0,45.0,1.5,5.0,0.0,1.0
068caacb-73e6-4355-9c92-2803ba84f28d,Grüner Salat mit Dressing,,appetizers,,,False,59.0,1.4,3.2,4.5,1.4,0.0
069e0524-9a57-4342-ac8c-ef18b5dfe2d4,Rheinische vollkornschnitten,Rewe (Beste Wahl),bakedgoods,,,True,194.0,5.1,37.0,1.1,8.0,2.8
06e08c8d-225f-4f5a-be3e-7c02dc99bcc2,Poulet Stroganoff,Felfel,dishes,,,False,108.0,6.0,12.0,3.7,0.0,1.7
06ed699b-495a-4700-a04e-750d164d9f2e,Grill - Poulet BBQ ,Coop,meat,,,False,168.0,19.0,0.5,10.0,0.0,0.0
070c1461-7ee9-41f0-9d9c-096b74aa4e7b,Polenta (zubereitet),,cerealproducts,,,False,95.0,2.4,16.6,1.8,0.0,0.0
07696739-41fd-40df-9312-51426c219b95,Smoked Salmon,Coop,fish,,,False,182.0,5.5,24.0,6.3,1.1,2.1
07e1cb78-18ba-4424-8416-ab9c39e7fe60,Fanta Exotic,Fanta,drinksnonalcoholic,,,True,3.0,0.0,0.5,0.0,0.0,0.5
0802f0f1-b1ac-4e4b-83df-b5b366f5c665,Fitline  Protein Pfirsich-Maracuja,"Exquisa 0,2%",yogurt,,,True,58.0,7.4,6.2,0.2,0.0,6.0
081bc48a-9523-419b-a489-d7565e5b4fae,Premium Muesli Honey & Nuts,Golden Bridge (Hofer),cerealproducts,,,True,479.0,11.0,58.0,21.0,7.1,18.0
083a470f-72f2-4303-a384-6de80094b859,cheese ,,dishes,,,False,350.0,20.0,10.0,10.0,0.0,5.0
086b98f4-c03c-4383-8080-83a1aa376fca,Poulet XXL (sauce Tartare),Betty Bossi,hamburger,7627536962874,Poulet XXL Sauce Tartare,True,286.0,9.0,28.0,15.0,1.7,1.0
086ba456-f1a6-4c6d-9512-3fb7e9b039d4,Schweinesteak,Steak,pork,2130879008819,Schweinesteak vom Karree,True,120.0,21.0,0.0,5.0,0.0,0.0
08e060be-b7a3-4218-a3ee-0a1cbae28d50,"Erdnüsse im Teigmantel, Paprika",Snack Fun (Hofer),seeds,,,True,558.0,15.0,44.0,35.0,0.0,7.5
090444df-ddd2-486f-aab9-847951d92ea5,Penne Cinque Pi,Fooby,pasta,,,False,173.33,11.67,9.0,9.0,0.0,0.0
09047cd3-3c96-4927-9771-9a9427320c88,Poulet au Café de Paris,Felfel,dishes,,,False,141.0,7.23,17.0,4.4,0.0,1.1
091294af-635a-4757-bb36-addb03367a65,Salted peanuts,Zweifel,seeds,7610095201003,Salted peanuts,True,631.0,28.0,11.0,51.0,8.0,5.0
095c9092-921a-4620-a0b2-1f768ee8cbf9,Jogurt birchermüesli,Coop,cornflakes,,,True,108.0,3.5,15.0,4.5,0.0,0.0
0962d7f0-fa23-4a06-a0a2-8bc17601ba1a,Butterbrezeli mit Sonnenblumenkernen,Felfel,bread,,,False,393.0,9.0,40.0,21.0,0.0,1.8
0a5269df-6b2e-4150-b2f2-2e2bce875702,"Putenschnitzel, paniert",,poultry,,,False,263.0,15.85,22.79,11.69,1.25,0.89
0a5b91bf-75a0-4135-8a4a-c75908bf5c90,Doppelrahmfrischkäse,Milfina,creamcheese,,,True,241.0,4.5,3.5,23.0,0.0,2.6
0abeb426-7a62-4cf7-92f3-6f239a111907,La fionrenzana,TONA,drinksnonalcoholic,,,True,41.0,0.8,9.3,0.1,0.0,0.0
