Datum,Kalorien,Protein (g),Fett (g),Kohlenhydrate (g)
2026-01-10,1.6,0.0,0.0,0.3
2026-01-16,17.0,0.7,0.5,2.1
2026-02-14,11.3,0.4,1.0,0.3
2026-02-15,9.6,0.4,0.6,0.7
2026-03-02,13.4,1.2,0.4,1.3
2026-03-03,12.5,1.2,0.6,0.6
2026-03-14,6.8,0.5,0.2,0.7
2026-03-22,18.9,1.5,0.7,1.3
2026-03-24,24.0,1.3,1.3,1.6
2026-03-26,10.2,0.9,0.1,1.1
2026-03-28,2.9,0.4,0.1,0.1
2026-03-29,4.4,0.7,0.0,0.4
2026-03-31,3.6,0.5,0.1,0.3
2026-04-04,39.8,2.5,2.1,2.6
2026-04-06,18.1,1.4,0.6,1.4
2026-04-10,22.5,2.3,1.0,1.0
2026-04-11,23.9,1.3,1.2,1.8
2026-04-14,34.1,2.0,1.1,4.0
2026-04-15,31.7,1.8,1.3,3.2
2026-04-16,33.3,1.3,1.4,3.3
2026-04-19,6.3,0.5,0.2,0.5
2026-04-20,12.0,0.8,0.4,1.1
2026-04-25,23.6,1.4,1.0,2.2
2026-04-29,29.7,1.4,1.8,2.2
2026-05-02,9.3,0.3,0.5,0.8
2026-05-04,22.5,1.5,0.8,2.3
2026-05-05,20.0,1.2,0.6,2.1
2026-05-07,19.8,2.1,0.9,1.0
2026-05-09,12.5,1.0,0.3,1.4
2026-05-12,17.8,1.0,0.6,2.0
2026-05-13,9.7,0.4,0.6,0.7
2026-05-14,17.8,0.9,0.6,2.2
2026-05-15,5.8,0.2,0.3,0.7
2026-05-16,17.2,1.3,0.9,1.0
2026-05-17,19.9,1.3,0.9,1.4
2026-05-18,16.1,0.8,0.6,1.8
2026-05-19,10.6,0.5,0.2,1.6
2026-05-20,19.0,1.1,0.7,2.0
2026-05-21,19.3,1.5,0.7,1.5
2026-05-22,16.3,1.3,0.6,1.6
2026-05-23,23.5,1.2,1.0,2.3
2026-05-25,6.2,0.2,0.3,0.7
2026-05-26,14.6,0.8,0.7,1.1
2026-05-27,5.5,0.1,0.2,0.8
2026-05-28,18.9,1.5,0.8,1.4
2026-05-29,12.6,0.7,0.6,0.9
2026-05-30,33.2,1.9,1.0,3.5
2026-06-01,3.9,0.1,0.2,0.4
2026-06-02,11.4,0.5,0.4,1.4
2026-06-03,6.6,0.9,0.1,0.6
2026-06-04,3.1,0.7,0.0,0.0
2026-06-05,25.6,2.7,1.0,1.5
2026-06-06,8.2,0.4,0.4,0.5
2026-06-07,13.1,0.6,0.6,1.1
2026-06-08,11.9,0.8,0.5,1.0
2026-06-09,22.5,1.2,1.1,2.0
2026-06-10,17.2,1.0,0.6,1.8
2026-06-11,22.7,1.2,1.0,2.2
2026-06-12,20.9,1.6,0.5,2.0
2026-06-13,18.8,1.0,0.8,1.7
2026-06-14,21.9,1.2,0.6,2.4
2026-06-15,15.0,1.1,0.2,1.8
2026-06-16,16.2,0.8,0.6,1.3
2026-06-17,20.6,1.4,0.7,1.8
2026-06-18,18.7,1.3,0.8,1.5
2026-06-19,7.3,0.2,0.2,0.9
2026-06-20,11.3,1.1,0.3,0.9
2026-06-21,38.4,1.1,1.5,4.9
2026-06-22,19.6,1.2,1.1,1.2
2026-06-23,8.2,0.3,0.3,1.1
2026-06-24,14.5,0.8,0.5,1.7
2026-06-25,5.2,0.1,0.2,0.8
2026-06-26,25.4,1.4,0.6,2.9
2026-06-27,28.4,1.6,1.2,3.1
2026-06-28,24.2,1.2,0.8,2.5
2026-06-29,6.2,0.2,0.2,1.1
