date,meal,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2023-08-30,Abendessen,1039.5,42.98,153.56,24.8,10.79,1.14
2023-12-05,Abendessen,753.8,60.78,39.46,36.92,7.02,38.02
2023-12-06,Abendessen,753.8,60.78,39.46,36.92,7.02,38.02
2023-12-07,Abendessen,1387.28,93.54,148.48,43.78,9.18,14.37
2023-12-08,Mittagessen,924.85,62.36,98.99,29.19,6.12,9.58
2023-12-09,Abendessen,1258.94,84.74,104.23,53.16,15.27,15.53
2023-12-13,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-14,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-15,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-16,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-17,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-18,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-19,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-20,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-21,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-21,Snack,237.7,19.77,13.23,12.26,1.32,3.1
2023-12-22,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-23,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-24,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-25,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-26,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-26,Abendessen,392.05,9.66,5.48,37.36,0.14,5.01
2023-12-27,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-30,Fruehstueck,322.68,7.95,4.51,30.75,0.12,4.12
2023-12-30,Abendessen,667.73,23.67,97.42,17.99,7.81,6.31
2023-12-31,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-31,Abendessen,119.56,2.94,1.67,11.39,0.04,1.53
2024-01-01,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-03,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-04,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-05,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-08,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-09,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-10,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
