date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2023-08-16,1993.96,92.84,199.53,84.46,18.96,33.76
2023-08-17,2201.7,135.18,198.32,94.59,7.5,53.33
2023-08-18,2628.5,217.36,148.67,126.01,2.35,26.36
2023-08-19,2151.58,124.32,200.33,75.62,12.44,70.11
2023-08-20,2362.0,165.7,224.44,77.0,14.92,57.07
2023-08-21,2275.42,215.1,110.48,93.57,6.93,27.33
2023-08-22,1976.93,149.75,148.28,79.73,22.26,47.8
2023-08-23,2226.7,167.6,194.57,85.7,15.0,44.65
2023-08-24,2626.33,161.56,290.62,87.19,10.22,166.3
2023-08-25,2675.36,194.86,155.46,132.58,9.05,68.32
2023-08-26,3245.05,147.95,243.8,129.21,15.34,63.38
2023-08-27,1607.8,96.35,152.0,56.45,0.0,38.5
2023-08-28,2133.85,141.15,164.48,101.25,11.07,8.82
2023-08-29,2250.09,119.09,206.16,103.67,12.89,8.24
2023-08-30,3135.7,168.2,416.63,85.53,30.03,28.53
2023-08-31,2462.55,127.54,147.3,145.73,41.5,58.82
2023-09-01,2287.46,187.68,114.69,117.91,12.1,28.05
2023-09-02,1896.0,145.76,77.25,108.24,22.15,61.21
2023-09-03,1014.0,143.3,33.15,36.1,2.7,30.25
2023-09-04,2086.92,236.48,157.69,52.58,13.27,39.43
2023-09-05,2034.79,145.58,185.59,77.46,16.37,35.76
2023-09-06,645.0,77.4,65.3,8.4,4.9,32.1
2023-09-07,1461.4,94.76,166.29,44.12,10.76,37.56
2023-09-09,2060.0,69.67,233.33,89.33,3.5,11.0
2023-09-15,1551.75,77.06,131.23,78.02,7.84,41.92
2023-09-19,269.0,15.5,14.5,16.5,0.0,11.5
2023-09-22,997.2,45.97,47.23,69.64,1.2,0.0
2023-09-29,1287.0,41.58,93.06,81.18,9.9,3.96
2023-11-06,1442.75,79.71,206.47,30.37,11.15,13.01
2023-11-07,2390.16,157.72,285.65,62.84,25.97,75.75
2023-11-08,2261.0,116.8,266.61,72.58,24.24,42.12
2023-11-09,2456.36,209.46,153.4,106.98,22.85,46.41
2023-11-11,977.3,23.0,119.15,44.72,1.3,4.38
2023-11-12,1066.26,39.81,66.21,68.81,17.94,8.31
2023-11-16,2522.58,141.52,156.03,135.12,20.71,44.61
2023-11-17,1112.6,61.98,103.22,40.49,0.0,0.02
2023-11-19,2337.68,125.4,167.79,130.81,12.88,4.51
2023-11-20,2427.82,169.41,146.77,127.52,34.68,89.04
2023-11-21,519.5,26.44,34.7,32.19,3.9,18.79
2023-11-23,1714.3,198.18,107.26,55.74,3.62,32.25
2023-11-25,2877.6,249.81,231.91,103.51,32.78,3.84
2023-11-26,1714.8,169.95,120.07,61.27,15.23,9.47
2023-11-27,1905.5,151.06,168.8,70.21,2.5,59.29
2023-11-28,1391.25,121.68,99.7,56.28,0.0,26.5
2023-12-01,134.75,26.25,2.62,1.75,0.0,1.93
2023-12-04,420.0,36.0,3.0,30.0,0.0,0.0
2023-12-05,2515.4,215.44,195.18,93.79,16.03,75.18
2023-12-06,2512.95,135.72,239.47,107.52,31.05,48.84
2023-12-07,2180.28,186.9,216.57,58.47,11.37,16.23
2023-12-08,3041.78,203.39,149.42,173.26,25.75,46.11
2023-12-09,3343.54,207.89,246.05,162.98,37.86,32.83
2023-12-10,2825.5,213.77,212.24,125.29,15.68,41.09
2023-12-11,315.0,48.5,28.5,2.5,0.0,26.5
2023-12-12,1907.53,174.38,195.26,46.2,8.23,35.7
2023-12-13,1301.25,147.74,60.2,51.72,10.13,20.39
2023-12-14,2823.65,175.88,255.64,115.32,17.55,25.36
2023-12-15,2478.85,205.02,171.95,102.35,27.21,51.8
2023-12-16,2711.55,178.64,244.49,106.17,24.1,38.13
2023-12-17,1248.45,80.44,59.88,72.87,20.1,20.07
2023-12-18,2371.83,146.33,192.5,98.81,14.65,19.53
2023-12-19,1629.48,139.17,102.16,66.35,9.68,19.18
2023-12-20,1240.95,122.42,114.95,29.85,8.74,14.39
2023-12-21,2200.7,146.28,196.37,88.16,12.52,27.22
