date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2023-08-30,1039.5,42.98,153.56,24.8,10.79,1.14
2023-12-05,753.8,60.78,39.46,36.92,7.02,38.02
2023-12-06,753.8,60.78,39.46,36.92,7.02,38.02
2023-12-07,1387.28,93.54,148.48,43.78,9.18,14.37
2023-12-08,924.85,62.36,98.99,29.19,6.12,9.58
2023-12-09,1258.94,84.74,104.23,53.16,15.27,15.53
2023-12-13,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-14,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-15,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-16,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-17,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-18,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-19,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-20,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-21,875.15,76.19,67.43,32.11,10.06,17.49
2023-12-22,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-23,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-24,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-25,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-26,1029.5,66.08,59.68,57.21,8.88,19.4
2023-12-27,637.45,56.42,54.2,19.85,8.74,14.39
2023-12-30,990.41,31.62,101.93,48.74,7.93,10.43
2023-12-31,757.01,59.36,55.87,31.24,8.78,15.92
2024-01-01,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-03,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-04,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-05,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-08,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-09,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-10,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-11,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-12,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-13,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-14,637.45,56.42,54.2,19.85,8.74,14.39
2024-01-15,712.67,58.0,72.51,20.27,2.47,7.2
2024-01-16,712.67,58.0,72.51,20.27,2.47,7.2
