date,meal,type,name,brand,amount_g,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,kcal_per_g,protein_per_g,carbs_per_g,fat_per_g,fiber_per_g
2023-08-16,FrÃ¼hstÃ¼ck,product,Spiegelei,,140.0,273.0,18.2,1.4,22.12,0.0,0.98,1.95,0.13,0.01,0.158,0.0
2023-08-16,FrÃ¼hstÃ¼ck,product,Schinkenwürfel,Edeka,40.0,92.8,10.8,0.4,1.2,0.0,0.2,2.32,0.27,0.01,0.03,0.0
2023-08-16,FrÃ¼hstÃ¼ck,product,"Kuhmilch (Vollmilch) 3,5% Fett",,75.0,48.75,2.53,3.52,2.68,0.0,3.52,0.65,0.03373,0.04693,0.03573,0.0
2023-08-16,FrÃ¼hstÃ¼ck,product,Parmesan Käse,,40.0,158.4,12.27,0.0,12.22,0.0,0.0,3.96,0.30675,0.0,0.3055,0.0
2023-08-16,FrÃ¼hstÃ¼ck,product,"Nektarine, frisch",,125.0,71.25,1.13,15.5,0.12,2.5,15.38,0.57,0.00904,0.124,0.00096,0.02
2023-08-16,Mittagessen,product,Singapur Nudeln ,Netto,470.0,681.5,21.62,94.0,22.56,7.05,9.4,1.45,0.046,0.2,0.048,0.015
2023-08-16,Snack,product,Gruyère,Blevita,100.0,455.26,15.79,60.53,15.79,6.58,2.63,4.5526,0.1579,0.6053,0.1579,0.0658
2023-08-16,Snack,product,Gruyère,Blevita,38.0,173.0,6.0,23.0,6.0,2.5,1.0,4.55263,0.15789,0.60526,0.15789,0.06579
2023-08-16,Snack,product,Total Protein Cinni Crunchy Shake,More Nutrition,25.0,40.0,4.5,1.18,1.77,0.33,0.65,1.6,0.18,0.0472,0.0708,0.0132
2023-08-17,FrÃ¼hstÃ¼ck,product,Spiegelei,,140.0,273.0,18.2,1.4,22.12,0.0,0.98,1.95,0.13,0.01,0.158,0.0
2023-08-17,FrÃ¼hstÃ¼ck,product,Schinkenwürfel,Edeka,40.0,92.8,10.8,0.4,1.2,0.0,0.2,2.32,0.27,0.01,0.03,0.0
2023-08-17,FrÃ¼hstÃ¼ck,product,"Kuhmilch (Vollmilch) 3,5% Fett",,75.0,48.75,2.53,3.52,2.68,0.0,3.52,0.65,0.03373,0.04693,0.03573,0.0
2023-08-17,FrÃ¼hstÃ¼ck,product,Parmesan Käse,,40.0,158.4,12.27,0.0,12.22,0.0,0.0,3.96,0.30675,0.0,0.3055,0.0
2023-08-17,Snack,product,Fanta Exotic,Fanta,500.0,15.0,0.0,2.5,0.0,0.0,2.5,0.03,0.0,0.005,0.0,0.0
2023-08-17,Mittagessen,product,Dürüm Döner,,400.0,700.0,44.0,72.0,28.0,0.0,0.0,1.75,0.11,0.18,0.07,0.0
2023-08-17,Abendessen,product,Dürüm Döner,,400.0,700.0,44.0,72.0,28.0,0.0,0.0,1.75,0.11,0.18,0.07,0.0
2023-08-17,Snack,product,"Nektarine, frisch",,125.0,71.25,1.13,15.5,0.12,2.5,15.38,0.57,0.00904,0.124,0.00096,0.02
2023-08-17,Snack,product,"Nektarine, frisch",,250.0,142.5,2.25,31.0,0.25,5.0,30.75,0.57,0.009,0.124,0.001,0.02
2023-08-18,FrÃ¼hstÃ¼ck,product,Mozzarella,Cucina Nobile,200.0,540.0,42.0,1.6,40.0,0.0,1.6,2.7,0.21,0.008,0.2,0.0
2023-08-18,Mittagessen,product,"Frikadellen (Bouletten, Hackfleischbällchen)",,170.0,362.1,27.4,9.81,23.7,0.95,1.56,2.13,0.16118,0.05771,0.13941,0.00559
2023-08-18,Mittagessen,product,Ofenkartoffeln (Folienkartoffeln),,120.0,84.0,2.26,17.26,0.01,1.4,0.78,0.7,0.01883,0.14383,8e-05,0.01167
2023-08-18,Mittagessen,product,Dinkelspätzle,Selbstgemacht,60.0,106.2,4.8,15.0,3.0,0.0,0.0,1.77,0.08,0.25,0.05,0.0
2023-08-18,Snack,product,Energy milk high protein,Emmi,330.0,194.7,26.4,16.5,3.3,0.0,16.17,0.59,0.08,0.05,0.01,0.0
2023-08-18,Snack,product,"Erdnüsse im Teigmantel, Paprika",Snack Fun (Hofer),50.0,279.0,7.5,22.0,17.5,0.0,3.75,5.58,0.15,0.44,0.35,0.0
2023-08-18,Abendessen,product,BBQ Poulet -Grillfackeln,Suisse Garantie,500.0,680.0,95.0,5.0,31.0,0.0,2.5,1.36,0.19,0.01,0.062,0.0
2023-08-18,FrÃ¼hstÃ¼ck,product,Vollkornsandwich,JedenTag,150.0,382.5,12.0,61.5,7.5,0.0,0.0,2.55,0.08,0.41,0.05,0.0
2023-08-19,FrÃ¼hstÃ¼ck,product,Skyr Natur,,500.0,315.0,53.0,20.0,1.0,0.0,20.0,0.63,0.106,0.04,0.002,0.0
2023-08-19,FrÃ¼hstÃ¼ck,product,1 Scheibe Roggenbrot,Brot,20.0,46.0,1.2,3.72,0.06,0.0,0.3,2.3,0.06,0.186,0.003,0.0
2023-08-19,Abendessen,product,Kartoffelwürfel,11er,150.0,270.0,4.7,45.0,6.8,4.8,0.0,1.8,0.03133,0.3,0.04533,0.032
2023-08-19,Abendessen,product,Fisch Filet Wels,Nordsee,200.0,366.0,37.4,0.0,24.0,0.0,0.0,1.83,0.187,0.0,0.12,0.0
2023-08-19,Snack,product,Zitronenrahmsauce,Oswald,60.0,52.8,2.4,5.46,2.46,0.0,3.84,0.88,0.04,0.091,0.041,0.0
2023-08-19,Snack,product,Bounty,Mars,28.5,139.08,1.08,16.67,7.41,0.0,13.65,4.88,0.03789,0.58491,0.26,0.0
2023-08-19,Snack,product,"Saft vom Fass, alkohilfrei",Möhl,1000.0,180.0,1.0,42.0,0.0,1.0,0.0,0.18,0.001,0.042,0.0,0.001
2023-08-19,Snack,product,Pringles Original,Kellogg,40.0,211.2,2.48,21.6,12.4,1.64,0.36,5.28,0.062,0.54,0.31,0.041
2023-08-19,Mittagessen,product,Cervelas,Coop,100.0,245.0,14.0,0.0,21.0,0.0,0.0,2.45,0.14,0.0,0.21,0.0
2023-08-19,Mittagessen,product,"Nektarine, frisch",,125.0,71.25,1.13,15.5,0.12,2.5,15.38,0.57,0.00904,0.124,0.00096,0.02
2023-08-19,Mittagessen,product,"Nektarine, frisch",,125.0,71.25,1.13,15.5,0.12,2.5,15.38,0.57,0.00904,0.124,0.00096,0.02
2023-08-19,Mittagessen,product,1 Scheibe Roggenbrot,Brot,80.0,184.0,4.8,14.88,0.25,0.0,1.2,2.3,0.06,0.186,0.00313,0.0
2023-08-20,FrÃ¼hstÃ¼ck,product,Dinkelzopf,Ölz,100.0,319.0,9.1,52.0,7.5,3.3,8.0,3.19,0.091,0.52,0.075,0.033
2023-08-20,FrÃ¼hstÃ¼ck,product,magerquark M- Budget,M Budget,500.0,315.0,48.5,28.5,2.5,0.0,26.5,0.63,0.097,0.057,0.005,0.0
