date,meal,type,name,brand,amount_g,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,kcal_per_g,protein_per_g,carbs_per_g,fat_per_g,fiber_per_g
2023-08-30,Abendessen,recipe,Reis mit Vegi Curry,,0.0,1039.5,42.98,153.56,24.8,10.79,1.14,0,0,0,0,0
2023-12-05,Abendessen,recipe,Proteinshake,,0.0,753.8,60.78,39.46,36.92,7.02,38.02,0,0,0,0,0
2023-12-06,Abendessen,recipe,Proteinshake,,0.0,753.8,60.78,39.46,36.92,7.02,38.02,0,0,0,0,0
2023-12-07,Abendessen,recipe,Pizza High Protein,,0.0,1387.28,93.54,148.48,43.78,9.18,14.37,0,0,0,0,0
2023-12-08,Mittagessen,recipe,Pizza High Protein,,0.0,924.85,62.36,98.99,29.19,6.12,9.58,0,0,0,0,0
2023-12-09,Abendessen,recipe,Protein Wraps,,0.0,1258.94,84.74,104.23,53.16,15.27,15.53,0,0,0,0,0
2023-12-13,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-14,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-15,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-16,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-17,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-18,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-19,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-20,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-21,Snack,recipe,Proteinshake,,0.0,237.7,19.77,13.23,12.26,1.32,3.1,0,0,0,0,0
2023-12-21,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-22,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-23,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-24,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-25,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-26,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-26,Abendessen,recipe,Salatsauce mit Magerquark,,0.0,392.05,9.66,5.48,37.36,0.14,5.01,0,0,0,0,0
2023-12-27,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-30,Fruehstueck,recipe,Salatsauce mit Magerquark,,0.0,322.68,7.95,4.51,30.75,0.12,4.12,0,0,0,0,0
2023-12-30,Abendessen,recipe,Dinkelzopf,,0.0,667.73,23.67,97.42,17.99,7.81,6.31,0,0,0,0,0
2023-12-31,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2023-12-31,Abendessen,recipe,Salatsauce mit Magerquark,,0.0,119.56,2.94,1.67,11.39,0.04,1.53,0,0,0,0,0
2024-01-01,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-03,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-04,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-05,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-08,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-09,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-10,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-11,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-12,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-13,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-14,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-15,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,712.67,58.0,72.51,20.27,2.47,7.2,0,0,0,0,0
2024-01-16,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,712.67,58.0,72.51,20.27,2.47,7.2,0,0,0,0,0
2024-01-17,Abendessen,recipe,Bolognese,,0.0,178.0,12.31,2.19,12.84,0.68,1.17,0,0,0,0,0
2024-01-17,Mittagessen,recipe,Bolognese,,0.0,585.52,40.48,7.21,42.22,2.25,3.87,0,0,0,0,0
2024-01-18,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-18,Mittagessen,recipe,Bolognese,,0.0,204.15,14.11,2.51,14.72,0.78,1.35,0,0,0,0,0
2024-01-19,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-19,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,712.67,58.0,72.51,20.27,2.47,7.2,0,0,0,0,0
2024-01-20,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-01-21,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-04,Abendessen,recipe,Nudelauflauf,,0.0,939.67,74.99,70.08,34.01,4.5,9.91,0,0,0,0,0
2024-02-05,Abendessen,recipe,Nudelauflauf,,0.0,375.75,29.99,28.02,13.6,1.8,3.96,0,0,0,0,0
2024-02-05,Abendessen,recipe,Proteinbaguette ,,0.0,786.16,66.88,75.21,22.38,6.09,13.17,0,0,0,0,0
2024-02-05,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-06,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,712.67,58.0,72.51,20.27,2.47,7.2,0,0,0,0,0
2024-02-06,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-07,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-08,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-09,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-09,Mittagessen,recipe,Nudelauflauf,,0.0,939.67,74.99,70.08,34.01,4.5,9.91,0,0,0,0,0
2024-02-10,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-13,Mittagessen,recipe,Kartoffelgratin,,0.0,554.54,10.85,46.19,35.43,0.17,7.16,0,0,0,0,0
2024-02-14,Mittagessen,recipe,Bolognese,,0.0,585.52,40.48,7.21,42.22,2.25,3.87,0,0,0,0,0
2024-02-16,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-16,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,356.34,29.0,36.26,10.14,1.24,3.6,0,0,0,0,0
2024-02-17,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-17,Mittagessen,recipe,Reis mit Pouletgeschnetzeltem,,0.0,356.34,29.0,36.26,10.14,1.24,3.6,0,0,0,0,0
2024-02-17,Snack,recipe,Kaiserschmarrn ,,0.0,1030.95,79.78,119.77,25.48,0.0,3.53,0,0,0,0,0
2024-02-18,Mittagessen,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-18,Snack,recipe,Poulet Gehacktes mit Linsennudeln,,0.0,623.07,55.12,57.1,17.39,7.9,6.94,0,0,0,0,0
2024-02-19,Mittagessen,recipe,Poulet Gehacktes mit Linsennudeln,,0.0,623.07,55.12,57.1,17.39,7.9,6.94,0,0,0,0,0
2024-02-23,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-24,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-02-25,Snack,recipe,Himmlische Apfeltorte,,0.0,216.68,1.15,25.38,11.75,1.91,9.92,0,0,0,0,0
2024-02-25,Abendessen,recipe,Poulet Gehacktes mit Linsennudeln,,0.0,623.07,55.12,57.1,17.39,7.9,6.94,0,0,0,0,0
2024-02-26,Mittagessen,recipe,Poulet nudeln,,0.0,677.15,49.92,71.94,17.33,3.73,7.32,0,0,0,0,0
2024-02-29,Mittagessen,recipe,Poulet nudeln,,0.0,677.15,49.92,71.94,17.33,3.73,7.32,0,0,0,0,0
2024-02-29,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
